"site","transect","subQuadrat","ID","fl","fs","fps","surv","time","TSF","stage","density","density2","transitionJ","transitionSR","transitionLR"
"siteC",1,1,"RY1.1.1",0,NA,NA,1,2011,"one","J",5,25,1,NA,NA
"siteC",1,1,"RY1.1.2",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",1,1,"RY1.1.3",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",1,1,"RY1.1.4",0,NA,NA,0,2011,"one","J",5,25,NA,NA,NA
"siteC",1,1,"RY1.1.5",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",1,2,"RY1.2.1",0,NA,NA,0,2011,"one","J",8,64,NA,NA,NA
"siteC",1,2,"RY1.2.2",0,NA,NA,1,2011,"one","J",8,64,0,NA,NA
"siteC",1,2,"RY1.2.3",0,NA,NA,1,2011,"one","SD",8,64,NA,NA,NA
"siteC",1,2,"RY1.2.4",0,NA,NA,1,2011,"one","J",8,64,0,NA,NA
"siteC",1,2,"RY1.2.5",0,NA,NA,1,2011,"one","J",8,64,0,NA,NA
"siteC",1,2,"RY1.2.6",0,NA,NA,1,2011,"one","J",8,64,0,NA,NA
"siteC",1,2,"RY1.2.7",0,NA,NA,1,2011,"one","J",8,64,0,NA,NA
"siteC",1,2,"RY1.2.8",0,NA,NA,1,2011,"one","J",8,64,1,NA,NA
"siteC",1,3,"RY1.3.1",0,NA,NA,0,2011,"one","SD",3,9,NA,NA,NA
"siteC",1,3,"RY1.3.2",0,NA,NA,0,2011,"one","J",3,9,NA,NA,NA
"siteC",1,3,"RY1.3.3",0,NA,NA,0,2011,"one","J",3,9,NA,NA,NA
"siteC",1,4,"RY1.4.1",0,NA,NA,1,2011,"one","SD",4,16,NA,NA,NA
"siteC",1,4,"RY1.4.2",0,NA,NA,1,2011,"one","J",4,16,0,NA,NA
"siteC",1,4,"RY1.4.3",0,NA,NA,1,2011,"one","J",4,16,0,NA,NA
"siteC",1,4,"RY1.4.4",0,NA,NA,1,2011,"one","J",4,16,0,NA,NA
"siteC",1,5,"RY1.5.1",0,NA,NA,1,2011,"one","J",2,4,0,NA,NA
"siteC",1,5,"RY1.5.2",0,NA,NA,1,2011,"one","J",2,4,0,NA,NA
"siteC",1,6,"RY1.6.1",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",1,6,"RY1.6.2",0,NA,NA,0,2011,"one","J",5,25,NA,NA,NA
"siteC",1,6,"RY1.6.3",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",1,6,"RY1.6.4",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",1,6,"RY1.6.5",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",1,7,"RY1.7.1",0,NA,NA,1,2011,"one","J",7,49,0,NA,NA
"siteC",1,7,"RY1.7.2",0,NA,NA,1,2011,"one","J",7,49,0,NA,NA
"siteC",1,7,"RY1.7.3",0,NA,NA,0,2011,"one","SD",7,49,NA,NA,NA
"siteC",1,7,"RY1.7.4",0,NA,NA,0,2011,"one","J",7,49,NA,NA,NA
"siteC",1,7,"RY1.7.5",0,NA,NA,0,2011,"one","J",7,49,NA,NA,NA
"siteC",1,7,"RY1.7.6",0,NA,NA,1,2011,"one","J",7,49,0,NA,NA
"siteC",1,7,"RY1.7.7",0,NA,NA,0,2011,"one","SD",7,49,NA,NA,NA
"siteC",1,8,"RY1.8.1",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,8,"RY1.8.2",0,NA,NA,1,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.3",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,8,"RY1.8.4",0,NA,NA,1,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.5",0,NA,NA,1,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.6",0,NA,NA,0,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.7",0,NA,NA,1,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.8",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,8,"RY1.8.9",0,NA,NA,1,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.10",0,NA,NA,1,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.11",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,8,"RY1.8.12",0,NA,NA,0,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.13",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,8,"RY1.8.14",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,8,"RY1.8.15",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,8,"RY1.8.16",0,NA,NA,0,2011,"one","J",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.17",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,8,"RY1.8.18",0,NA,NA,1,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.19",0,NA,NA,1,2011,"one","J",21,441,1,NA,NA
"siteC",1,8,"RY1.8.20",0,NA,NA,1,2011,"one","SD",21,441,NA,NA,NA
"siteC",1,8,"RY1.8.21",0,NA,NA,1,2011,"one","J",21,441,0,NA,NA
"siteC",1,9,"RY1.9.1",0,NA,NA,1,2011,"one","J",1,1,1,NA,NA
"siteC",2,2,"RY2.2.1",0,NA,NA,0,2011,"one","J",2,4,NA,NA,NA
"siteC",2,2,"RY2.2.2",0,NA,NA,0,2011,"one","J",2,4,NA,NA,NA
"siteC",2,3,"RY2.3.1",0,NA,NA,0,2011,"one","J",8,64,NA,NA,NA
"siteC",2,3,"RY2.3.2",0,NA,NA,0,2011,"one","J",8,64,NA,NA,NA
"siteC",2,3,"RY2.3.3",0,NA,NA,1,2011,"one","J",8,64,0,NA,NA
"siteC",2,3,"RY2.3.4",0,NA,NA,1,2011,"one","J",8,64,1,NA,NA
"siteC",2,3,"RY2.3.5",0,NA,NA,0,2011,"one","J",8,64,NA,NA,NA
"siteC",2,3,"RY2.3.6",0,NA,NA,1,2011,"one","J",8,64,1,NA,NA
"siteC",2,3,"RY2.3.7",0,NA,NA,1,2011,"one","J",8,64,0,NA,NA
"siteC",2,3,"RY2.3.8",0,NA,NA,1,2011,"one","J",8,64,0,NA,NA
"siteC",2,4,"RY2.4.1",0,NA,NA,1,2011,"one","J",3,9,0,NA,NA
"siteC",2,4,"RY2.4.2",0,NA,NA,1,2011,"one","J",3,9,0,NA,NA
"siteC",2,4,"RY2.4.3",0,NA,NA,1,2011,"one","J",3,9,0,NA,NA
"siteC",2,5,"RY2.5.1",0,NA,NA,1,2011,"one","J",6,36,1,NA,NA
"siteC",2,5,"RY2.5.2",0,NA,NA,0,2011,"one","SD",6,36,NA,NA,NA
"siteC",2,5,"RY2.5.3",0,NA,NA,1,2011,"one","J",6,36,1,NA,NA
"siteC",2,5,"RY2.5.4",0,NA,NA,1,2011,"one","J",6,36,0,NA,NA
"siteC",2,5,"RY2.5.5",0,NA,NA,0,2011,"one","J",6,36,NA,NA,NA
"siteC",2,5,"RY2.5.6",0,NA,NA,1,2011,"one","J",6,36,0,NA,NA
"siteC",3,1,"RY3.1.1",0,NA,NA,1,2011,"one","J",2,4,0,NA,NA
"siteC",3,1,"RY3.1.2",0,NA,NA,1,2011,"one","J",2,4,1,NA,NA
"siteC",3,2,"RY3.2.1",0,NA,NA,0,2011,"one","J",5,25,NA,NA,NA
"siteC",3,2,"RY3.2.2",0,NA,NA,0,2011,"one","J",5,25,NA,NA,NA
"siteC",3,2,"RY3.2.3",0,NA,NA,1,2011,"one","J",5,25,1,NA,NA
"siteC",3,2,"RY3.2.4",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",3,2,"RY3.2.5",0,NA,NA,0,2011,"one","J",5,25,NA,NA,NA
"siteC",3,3,"RY3.3.1",0,NA,NA,0,2011,"one","J",3,9,NA,NA,NA
"siteC",3,3,"RY3.3.2",0,NA,NA,0,2011,"one","J",3,9,NA,NA,NA
"siteC",3,3,"RY3.3.3",0,NA,NA,1,2011,"one","J",3,9,1,NA,NA
"siteC",3,4,"RY3.4.1",0,NA,NA,1,2011,"one","J",4,16,0,NA,NA
"siteC",3,4,"RY3.4.2",0,NA,NA,1,2011,"one","J",4,16,0,NA,NA
"siteC",3,4,"RY3.4.3",0,NA,NA,1,2011,"one","J",4,16,0,NA,NA
"siteC",3,4,"RY3.4.4",0,NA,NA,1,2011,"one","J",4,16,0,NA,NA
"siteC",3,5,"RY3.5.1",0,NA,NA,0,2011,"one","J",6,36,NA,NA,NA
"siteC",3,5,"RY3.5.2",0,NA,NA,1,2011,"one","J",6,36,0,NA,NA
"siteC",3,5,"RY3.5.3",0,NA,NA,1,2011,"one","J",6,36,0,NA,NA
"siteC",3,5,"RY3.5.4",0,NA,NA,1,2011,"one","J",6,36,0,NA,NA
"siteC",3,5,"RY3.5.5",0,NA,NA,1,2011,"one","J",6,36,0,NA,NA
"siteC",3,5,"RY3.5.6",0,NA,NA,1,2011,"one","J",6,36,1,NA,NA
"siteC",3,6,"RY3.6.1",0,NA,NA,0,2011,"one","J",5,25,NA,NA,NA
"siteC",3,6,"RY3.6.2",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
"siteC",3,6,"RY3.6.3",0,NA,NA,0,2011,"one","SD",5,25,NA,NA,NA
"siteC",3,6,"RY3.6.4",0,NA,NA,1,2011,"one","J",5,25,0,NA,NA
