"site","transect","subQuadrat","ID","fl","fs","fps","surv","time","LS","stage","density","density2","transitionJ","transitionSR","transitionLR"
"SierraCarbonera",1,6,"CM1.6.1",1,1,2,0,2011,"LG","SR",1,1,NA,NA,NA
"SierraCarbonera",1,7,"CM1.7.1",1,2,2,1,2011,"LG","LR",1,1,NA,NA,0
"SierraCarbonera",1,9,"CM1.9.1",1,1,1,1,2011,"LG","SR",2,4,NA,0,NA
"SierraCarbonera",1,9,"CM1.9.2",1,1,1,1,2011,"LG","SR",2,4,NA,0,NA
"SierraCarbonera",1,10,"CM1.10.1",0,NA,NA,1,2011,"LG","J",10,100,0,NA,NA
"SierraCarbonera",1,10,"CM1.10.2",1,1,2,0,2011,"LG","SR",10,100,NA,NA,NA
"SierraCarbonera",1,10,"CM1.10.3",1,1,1,0,2011,"LG","SR",10,100,NA,NA,NA
"SierraCarbonera",1,10,"CM1.10.4",1,1,1,0,2011,"LG","SR",10,100,NA,NA,NA
"SierraCarbonera",1,10,"CM1.10.5",0,NA,NA,0,2011,"LG","J",10,100,NA,NA,NA
"SierraCarbonera",1,10,"CM1.10.6",1,1,1,0,2011,"LG","SR",10,100,NA,NA,NA
"SierraCarbonera",1,10,"CM1.10.7",1,2,2,1,2011,"LG","SR",10,100,NA,0,NA
"SierraCarbonera",1,10,"CM1.10.8",0,NA,NA,0,2011,"LG","SR",10,100,NA,NA,NA
"SierraCarbonera",1,10,"CM1.10.9",0,NA,NA,1,2011,"LG","SR",10,100,NA,0,NA
"SierraCarbonera",1,10,"CM1.10.10",1,2,2,1,2011,"LG","LR",10,100,NA,NA,1
"SierraCarbonera",2,1,"CM2.1.1",1,3,3,1,2011,"LG","LR",1,1,NA,NA,0
"SierraCarbonera",2,5,"CM2.5.1",1,1,4,1,2011,"LG","LR",7,49,NA,NA,0
"SierraCarbonera",2,5,"CM2.5.2",1,1,3,0,2011,"LG","SR",7,49,NA,NA,NA
"SierraCarbonera",2,5,"CM2.5.3",1,1,1,0,2011,"LG","SR",7,49,NA,NA,NA
"SierraCarbonera",2,5,"CM2.5.4",1,2,3,1,2011,"LG","LR",7,49,NA,NA,0
"SierraCarbonera",2,5,"CM2.5.5",1,1,4,1,2011,"LG","LR",7,49,NA,NA,1
"SierraCarbonera",2,5,"CM2.5.6",1,2,2,1,2011,"LG","SR",7,49,NA,0,NA
"SierraCarbonera",2,5,"CM2.5.7",1,2,1,0,2011,"LG","SR",7,49,NA,NA,NA
"SierraCarbonera",2,6,"CM2.6.1",1,2,2,1,2011,"LG","LR",2,4,NA,NA,1
"SierraCarbonera",2,6,"CM2.6.2",0,NA,NA,1,2011,"LG","SR",2,4,NA,0,NA
"SierraCarbonera",2,7,"CM2.7.1",1,2,2,1,2011,"LG","LR",1,1,NA,NA,0
"SierraCarbonera",2,8,"CM2.8.1",1,2,6,1,2011,"LG","LR",2,4,NA,NA,0
"SierraCarbonera",2,8,"CM2.8.2",1,2,2,1,2011,"LG","SR",2,4,NA,0,NA
"SierraCarbonera",2,10,"CM2.10.1",1,2,4,0,2011,"LG","LR",1,1,NA,NA,NA
"SierraCarbonera",3,1,"CM3.1.1",1,2,1,0,2011,"LG","LR",7,49,NA,NA,NA
"SierraCarbonera",3,1,"CM3.1.2",1,1,7,1,2011,"LG","LR",7,49,NA,NA,1
"SierraCarbonera",3,1,"CM3.1.3",1,1,5,1,2011,"LG","LR",7,49,NA,NA,0
"SierraCarbonera",3,1,"CM3.1.4",1,2,3,1,2011,"LG","LR",7,49,NA,NA,1
"SierraCarbonera",3,1,"CM3.1.5",1,2,2,1,2011,"LG","SR",7,49,NA,1,NA
"SierraCarbonera",3,1,"CM3.1.6",1,1,3,1,2011,"LG","SR",7,49,NA,0,NA
"SierraCarbonera",3,1,"CM3.1.7",1,1,3,1,2011,"LG","SR",7,49,NA,0,NA
"SierraCarbonera",3,2,"CM3.2.1",1,2,3,1,2011,"LG","LR",10,100,NA,NA,0
