"ID","year","stage_surv","transRA","recruits","season","surv"
1,"1976","Y",1,NA,"winter",NA
1,"1976","RA",NA,6,"summer",NA
2,"1976","Y",1,NA,"winter",1
2,"1976","RA",NA,2,"summer",1
3,"1976","RA",NA,NA,"winter",1
3,"1976",NA,NA,NA,"summer",1
4,"1976","RA",NA,NA,"winter",0
4,"1976",NA,NA,NA,"summer",NA
5,"1976","Y",NA,NA,"winter",0
5,"1976",NA,NA,NA,"summer",NA
6,"1976","Y",1,NA,"winter",1
6,"1976","RA",NA,3,"summer",1
7,"1976","Y",NA,NA,"winter",0
7,"1976",NA,NA,NA,"summer",NA
8,"1976","J",NA,NA,"winter",1
8,"1976","Y",NA,NA,"summer",1
9,"1976","Y",NA,NA,"winter",0
9,"1976",NA,NA,NA,"summer",NA
10,"1976","Y",0,NA,"winter",1
10,"1976","NRA",NA,NA,"summer",1
11,"1976","RA",1,NA,"winter",1
11,"1976","RA",NA,6,"summer",1
12,"1976","NRA",1,NA,"winter",1
12,"1976","RA",NA,4,"summer",1
13,"1976","Y",0,NA,"winter",1
13,"1976","NRA",NA,NA,"summer",1
14,"1976","RA",1,NA,"winter",1
14,"1976","RA",NA,3,"summer",1
15,"1976","Y",NA,NA,"winter",0
15,"1976",NA,NA,NA,"summer",NA
16,"1976","Y",NA,NA,"winter",0
16,"1976",NA,NA,NA,"summer",NA
17,"1976","Y",NA,NA,"winter",0
17,"1976",NA,NA,NA,"summer",NA
18,"1976","Y",0,NA,"winter",1
18,"1976","NRA",NA,NA,"summer",0
19,"1976","Y",NA,NA,"winter",0
19,"1976",NA,NA,NA,"summer",NA
20,"1976","Y",1,NA,"winter",1
20,"1976","RA",NA,3,"summer",1
21,"1976","RA",0,NA,"winter",1
21,"1976","NRA",NA,NA,"summer",0
22,"1976","Y",NA,NA,"winter",1
22,"1976",NA,NA,NA,"summer",1
23,"1976","RA",NA,NA,"winter",1
23,"1976",NA,NA,NA,"summer",1
24,"1976","J",NA,NA,"winter",0
24,"1976",NA,NA,NA,"summer",NA
25,"1976","J",NA,NA,"winter",0
25,"1976",NA,NA,NA,"summer",NA
26,"1976","J",NA,NA,"winter",1
26,"1976","Y",NA,NA,"summer",0
27,"1976","Y",0,NA,"winter",1
27,"1976","NRA",NA,NA,"summer",0
28,"1976","J",NA,NA,"winter",1
28,"1976","Y",NA,NA,"summer",1
29,"1976","J",NA,NA,"winter",1
29,"1976","Y",NA,NA,"summer",0
30,"1976","J",NA,NA,"winter",1
30,"1976","Y",NA,NA,"summer",1
31,"1976","J",NA,NA,"winter",1
31,"1976","Y",NA,NA,"summer",1
32,"1976","J",NA,NA,"winter",0
32,"1976",NA,NA,NA,"summer",NA
33,"1976","J",NA,NA,"winter",1
33,"1976","Y",NA,NA,"summer",1
34,"1976",NA,NA,NA,"winter",1
34,"1976","NRA",NA,NA,"summer",0
35,"1976","J",NA,NA,"winter",1
35,"1976","Y",NA,NA,"summer",1
36,"1976","J",NA,NA,"winter",0
36,"1976",NA,NA,NA,"summer",NA
37,"1976","J",NA,NA,"winter",0
37,"1976",NA,NA,NA,"summer",NA
38,"1976","J",NA,NA,"winter",0
38,"1976",NA,NA,NA,"summer",NA
39,"1976","J",NA,NA,"winter",1
39,"1976","Y",NA,NA,"summer",0
40,"1976","J",NA,NA,"winter",1
40,"1976","Y",NA,NA,"summer",0
41,"1976","J",NA,NA,"winter",0
41,"1976",NA,NA,NA,"summer",NA
42,"1976","J",NA,NA,"winter",0
42,"1976",NA,NA,NA,"summer",NA
43,"1977","J",NA,NA,"winter",0
43,"1977",NA,NA,NA,"summer",NA
44,"1977","J",NA,NA,"winter",0
44,"1977",NA,NA,NA,"summer",NA
1,"1977","RA",NA,NA,"winter",NA
1,"1977",NA,NA,NA,"summer",NA
2,"1977","RA",0,NA,"winter",1
2,"1977","NRA",NA,NA,"summer",1
3,"1977",NA,NA,NA,"winter",1
3,"1977","RA",NA,6,"summer",1
6,"1977","RA",0,NA,"winter",1
6,"1977","NRA",NA,NA,"summer",1
45,"1977","NRA",NA,NA,"winter",0
45,"1977",NA,NA,NA,"summer",NA
8,"1977","Y",0,NA,"winter",1
8,"1977","NRA",NA,NA,"summer",1
46,"1977","Y",NA,NA,"winter",0
46,"1977",NA,NA,NA,"summer",NA
10,"1977","NRA",NA,NA,"winter",1
10,"1977",NA,NA,NA,"summer",1
11,"1977","RA",0,NA,"winter",1
11,"1977","NRA",NA,NA,"summer",1
12,"1977","RA",0,NA,"winter",1
12,"1977","NRA",NA,NA,"summer",1
13,"1977","NRA",NA,NA,"winter",NA
13,"1977",NA,NA,NA,"summer",NA
14,"1977","RA",1,NA,"winter",1
14,"1977","RA",NA,5,"summer",1
47,"1977","J",NA,NA,"winter",1
47,"1977","Y",NA,NA,"summer",1
48,"1977","J",NA,NA,"winter",1
48,"1977","Y",NA,NA,"summer",1
49,"1977","NRA",NA,NA,"winter",0
49,"1977",NA,NA,NA,"summer",NA
50,"1977","J",NA,NA,"winter",1
50,"1977","Y",NA,NA,"summer",1
51,"1977","J",NA,NA,"winter",1
51,"1977","Y",NA,NA,"summer",1
52,"1977","J",NA,NA,"winter",0
52,"1977",NA,NA,NA,"summer",NA
53,"1977","J",NA,NA,"winter",1
53,"1977","Y",NA,NA,"summer",0
54,"1977","J",NA,NA,"winter",0
54,"1977",NA,NA,NA,"summer",NA
55,"1977","J",NA,NA,"winter",0
55,"1977",NA,NA,NA,"summer",NA
56,"1977","NRA",NA,NA,"winter",0
56,"1977",NA,NA,NA,"summer",NA
18,"1977","NRA",NA,NA,"winter",NA
18,"1977",NA,NA,NA,"summer",NA
57,"1977","J",NA,NA,"winter",1
57,"1977","Y",NA,NA,"summer",1
20,"1977","RA",0,NA,"winter",1
20,"1977","NRA",NA,NA,"summer",1
21,"1977","NRA",NA,NA,"winter",NA
21,"1977",NA,NA,NA,"summer",NA
22,"1977",NA,NA,NA,"winter",1
22,"1977",NA,NA,NA,"summer",1
58,"1977","J",NA,NA,"winter",1
